"Index","Segment","Score","R","F","M","Activity","Actionable Tip"
"1","Champions","555","5","5","5","Bought recently, buy often and spend the most!","Reward them. Can be early adopters for new products. Will promote your brand."
"1","Champions","554","5","5","4","Bought recently, buy often and spend the most!","Reward them. Can be early adopters for new products. Will promote your brand."
"1","Champions","544","5","4","4","Bought recently, buy often and spend the most!","Reward them. Can be early adopters for new products. Will promote your brand."
"1","Champions","545","5","4","5","Bought recently, buy often and spend the most!","Reward them. Can be early adopters for new products. Will promote your brand."
"1","Champions","454","4","5","4","Bought recently, buy often and spend the most!","Reward them. Can be early adopters for new products. Will promote your brand."
"1","Champions","455","4","5","5","Bought recently, buy often and spend the most!","Reward them. Can be early adopters for new products. Will promote your brand."
"1","Champions","445","4","4","5","Bought recently, buy often and spend the most!","Reward them. Can be early adopters for new products. Will promote your brand."
"2","Loyal","543","5","4","3","Spend good money with us often. Responsive to promotions.","Upsell higher value products. Ask for reviews. Engage them."
"2","Loyal","444","4","4","4","Spend good money with us often. Responsive to promotions.","Upsell higher value products. Ask for reviews. Engage them."
"2","Loyal","435","4","3","5","Spend good money with us often. Responsive to promotions.","Upsell higher value products. Ask for reviews. Engage them."
"2","Loyal","355","3","5","5","Spend good money with us often. Responsive to promotions.","Upsell higher value products. Ask for reviews. Engage them."
"2","Loyal","354","3","5","4","Spend good money with us often. Responsive to promotions.","Upsell higher value products. Ask for reviews. Engage them."
"2","Loyal","345","3","4","5","Spend good money with us often. Responsive to promotions.","Upsell higher value products. Ask for reviews. Engage them."
"2","Loyal","344","3","4","4","Spend good money with us often. Responsive to promotions.","Upsell higher value products. Ask for reviews. Engage them."
"2","Loyal","335","3","3","5","Spend good money with us often. Responsive to promotions.","Upsell higher value products. Ask for reviews. Engage them."
"3","Potential Loyalist","553","5","5","3","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","551","5","5","1","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","552","5","5","2","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","541","5","4","1","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","542","5","4","2","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","533","5","3","3","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","532","5","3","2","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","531","5","3","1","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","452","4","5","2","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","451","4","5","1","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","442","4","4","2","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","441","4","4","1","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","431","4","3","1","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","453","4","5","3","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","433","4","3","3","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","432","4","3","2","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","423","4","2","3","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","353","3","5","3","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","352","3","5","2","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","351","3","5","1","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","342","3","4","2","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","341","3","4","1","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","333","3","3","3","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","323","3","2","3","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"4","New Customers","512","5","1","2","Bought most recently, but not often.","Provide onboarding support, give them early success, start building relationship."
"4","New Customers","511","5","1","1","Bought most recently, but not often.","Provide onboarding support, give them early success, start building relationship."
"4","New Customers","422","4","2","2","Bought most recently, but not often.","Provide onboarding support, give them early success, start building relationship."
"4","New Customers","421","4","2","1","Bought most recently, but not often.","Provide onboarding support, give them early success, start building relationship."
"4","New Customers","412","4","1","2","Bought most recently, but not often.","Provide onboarding support, give them early success, start building relationship."
"4","New Customers","411","4","1","1","Bought most recently, but not often.","Provide onboarding support, give them early success, start building relationship."
"4","New Customers","311","3","1","1","Bought most recently, but not often.","Provide onboarding support, give them early success, start building relationship."
"5","Promising","525","5","2","5","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","524","5","2","4","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","523","5","2","3","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","522","5","2","2","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","521","5","2","1","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","515","5","1","5","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","514","5","1","4","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","513","5","1","3","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","425","4","2","5","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","424","4","2","4","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","413","4","1","3","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","414","4","1","4","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","415","4","1","5","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","315","3","1","5","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
